,T_coeff,alpha,attempts,course_id,cumgame_coeff,dirvar_coeff,intercept,l1,mse,n_iter,n_values,player,precip_coeff,prediction_score,removed_corr,wgust_coeff,wspd_coeff,wx_impact
1288,0.0,0.0,0.0,1,0.0,0.0,59.0,0.0,37.30478395061729,0.0,0,Jacob Farleigh,0.0,0.0,0.0,0.0,0.0,0.0
1289,0.0,0.0,0.0,2,0.0,0.0,59.0,0.0,37.30478395061729,0.0,0,Jacob Farleigh,0.0,0.0,0.0,0.0,0.0,0.0
1290,0.0,0.0,0.0,0,0.0,0.0,59.0,0.0,42.99999999999999,0.0,3,Mario Avila,0.0,0.0,0.0,0.0,0.0,0.0
1291,0.0,0.0,0.0,1,0.0,0.0,59.0,0.0,42.99999999999999,0.0,0,Mario Avila,0.0,0.0,0.0,0.0,0.0,0.0
1292,0.0,0.0,0.0,2,0.0,0.0,59.0,0.0,42.99999999999999,0.0,0,Mario Avila,0.0,0.0,0.0,0.0,0.0,0.0
1293,0.0,0.0,0.0,0,0.0,0.0,74.0,0.0,28.547822339223522,0.0,1,Michelle Ainsley,0.0,0.0,0.0,0.0,0.0,0.0
1294,0.0,0.0,0.0,1,0.0,0.0,74.0,0.0,37.30478395061729,0.0,0,Michelle Ainsley,0.0,0.0,0.0,0.0,0.0,0.0
1295,0.0,0.0,0.0,2,0.0,0.0,74.0,0.0,37.30478395061729,0.0,0,Michelle Ainsley,0.0,0.0,0.0,0.0,0.0,0.0
1296,0.0,0.0,0.0,0,-0.8000000000000002,0.0,74.19999999999999,0.0,3.3599999999999897,0.0,5,Phoenix Sprous,0.0,0.27586206896551946,1.0,0.0,0.0,0.0
1297,0.0,0.0,0.0,1,0.0,0.0,72.33333333333333,0.0,5.0666666666666655,0.0,1,Phoenix Sprous,0.0,0.0,0.0,0.0,0.0,0.0
1298,0.0,0.0,0.0,2,0.0,0.0,72.33333333333333,0.0,5.0666666666666655,0.0,0,Phoenix Sprous,0.0,0.0,0.0,0.0,0.0,0.0
1299,0.0,0.0,0.0,0,0.0,0.0,68.0,0.0,28.547822339223522,0.0,1,Rob Mills,0.0,0.0,0.0,0.0,0.0,0.0
1300,0.0,0.0,0.0,1,0.0,0.0,68.0,0.0,37.30478395061729,0.0,0,Rob Mills,0.0,0.0,0.0,0.0,0.0,0.0
1301,0.0,0.0,0.0,2,0.0,0.0,68.0,0.0,37.30478395061729,0.0,0,Rob Mills,0.0,0.0,0.0,0.0,0.0,0.0
1302,0.0,0.0,0.0,0,0.0,0.0,70.0,0.0,28.547822339223522,0.0,1,Tom Limanek,0.0,0.0,0.0,0.0,0.0,0.0
